,facility_name,facility_type,location,zip,contact,geocode,point,latitude,longitude,altitude
39,Walgreens,Drug Store,"459 Powell St, San Francisco, CA 94102",94102,+1 415 984-0793,"459, Powell Street, Union Square, San Francisco, San Francisco City and County, California, 94102, United States of America","(37.78877736363636, -122.40860745454545, 0.0)",37.78877736363636,-122.40860745454545,0.0
40,Walgreens,Drug Store,"1899 Fillmore St, San Francisco, CA 94115",94115,+1 415 771-4603,"1899, Fillmore Street, Western Addition, San Francisco, San Francisco City and County, California, 94115, United States of America","(37.786886, -122.433538, 0.0)",37.786886,-122.433538,0.0
41,Walgreens,Drug Store,"1301 Market St, San Francisco, CA 94103",94103,+1 415 861-4010,"1301, Market Street, Civic Center, San Francisco, San Francisco City and County, California, 94103, United States of America","(37.777256, -122.416227, 0.0)",37.777256,-122.416227,0.0
42,Walgreens,Drug Store,"1175 Columbus Ave, San Francisco, CA 94133",94133,+1 415 345-1079,"1175, Columbus Avenue, Russian Hill, San Francisco, San Francisco City and County, California, 94133, United States of America","(37.80496892, -122.41709396, 0.0)",37.80496892,-122.41709396,0.0
43,Walgreens,Drug Store,"1300 Bush St, San Francisco, CA 94109",94109,+1 415 771-3303,"1300, Bush Street, Nob Hill, San Francisco, San Francisco City and County, California, 94109, United States of America","(37.788972, -122.418826, 0.0)",37.788972,-122.418826,0.0
44,Walgreens,Drug Store,"2145 Market St, San Francisco, CA 94114",94114,+1 415 355-0800,"24 Hour Fitness, 2145, Market Street, Duboce Triangle, San Francisco, San Francisco City and County, California, 94114, United States of America","(37.7667148, -122.4296385, 0.0)",37.7667148,-122.4296385,0.0
45,Walgreens,Drug Store,"745 Clement St, San Francisco, CA 94118",94118,+1 415 668-5250,"Walgreens, 745, Clement Street, Richmond District, San Francisco, San Francisco City and County, California, 94118, United States of America","(37.7826679, -122.4673818, 0.0)",37.7826679,-122.4673818,0.0
47,Walgreens,Drug Store,"1301 Franklin St, San Francisco, CA 94109",94109,+1 415 775-6706,"1301, Franklin Street, Western Addition, San Francisco, San Francisco City and County, California, 94109, United States of America","(37.786977, -122.423435, 0.0)",37.786977,-122.423435,0.0
48,Walgreens,Drug Store,"1363 Divisadero St, San Francisco, CA 94115",94115,+1 415 931-9974,"Walgreens, 1363, Divisadero Street, Western Addition, San Francisco, San Francisco City and County, California, 94115, United States of America","(37.7822825, -122.4394791, 0.0)",37.7822825,-122.4394791,0.0
49,Walgreens,Drug Store,"500 Geary St, San Francisco, CA 94102",94102,+1 415 673-8413,"500, Geary Street, Union Square, San Francisco, San Francisco City and County, California, 94102, United States of America","(37.787002, -122.411686, 0.0)",37.787002,-122.411686,0.0
50,Walgreens,Drug Store,"2494 San Bruno Ave, San Francisco, CA 94134",94134,+1 415 468-4274,"2494, San Bruno Avenue, Portola, San Francisco, San Francisco City and County, California, 94134, United States of America","(37.7301525, -122.40474800000001, 0.0)",37.7301525,-122.40474800000001,0.0
51,Walgreens,Drug Store,"300 Gough St, San Francisco, CA 94102",94102,+1 415 581-0600,"Walgreens, 300, Gough Street, Western Addition, San Francisco, San Francisco City and County, California, 94102, United States of America","(37.7761033, -122.4226509, 0.0)",37.7761033,-122.4226509,0.0
52,Walgreens,Drug Store,"3398 Mission St, San Francisco, CA 94110",94110,+1 415 824-6886,"Walgreens, 3398, Mission Street, Bernal Heights, San Francisco, San Francisco City and County, California, 94110, United States of America","(37.7425253, -122.42218154921306, 0.0)",37.7425253,-122.42218154921306,0.0
53,Walgreens,Drug Store,"1189 Potrero Ave, San Francisco, CA 94110",94110,+1 415 647-1397,"1189, Potrero Avenue, Potrero Terrace, San Francisco, San Francisco City and County, California, 94110, United States of America","(37.753237795918366, -122.40625359183673, 0.0)",37.753237795918366,-122.40625359183673,0.0
54,Walgreens,Drug Store,"2690 Mission St, San Francisco, CA 94110",94110,+1 415 285-1576,"Walgreens, 2690, Mission Street, Mission District, San Francisco, San Francisco City and County, California, 94110, United States of America","(37.7539579, -122.4187888, 0.0)",37.7539579,-122.4187888,0.0
55,Walgreens,Drug Store,"1524 Polk St, San Francisco, CA 94109",94109,+1 415 673-4701,"Maple Hall, 1524, Polk Street, Nob Hill, San Francisco, San Francisco City and County, California, 94109, United States of America","(37.791035300000004, -122.4205187, 0.0)",37.791035300000004,-122.4205187,0.0
56,Walgreens,Drug Store,"3601 California St, San Francisco, CA 94118",94118,+1 415 668-5202,"3601, California Street, Jordan Park, San Francisco, San Francisco City and County, California, 94118, United States of America","(37.7861464, -122.4535488716169, 0.0)",37.7861464,-122.4535488716169,0.0
57,Walgreens,Drug Store,"2141 Chestnut St, San Francisco, CA 94123",94123,+1 415 567-9320,"2141, Chestnut Street, Marina District, San Francisco, San Francisco City and County, California, 94123, United States of America","(37.8004398367347, -122.43855987755101, 0.0)",37.8004398367347,-122.43855987755101,0.0
58,Walgreens,Drug Store,"3201 Divisadero St, San Francisco, CA 94123",94123,+1 415 931-6417,"3201, Divisadero Street, Marina District, San Francisco, San Francisco City and County, California, 94123, United States of America","(37.799182, -122.44279, 0.0)",37.799182,-122.44279,0.0
59,Walgreens,Drug Store,"5300 3rd St, San Francisco, CA 94124",94124,+1 415 671-0841,"3rd Street, Potrero Terrace, San Francisco, San Francisco City and County, California, 94124, United States of America","(37.7489293, -122.3875787, 0.0)",37.7489293,-122.3875787,0.0
60,Walgreens,Drug Store,"1750 Noriega St, San Francisco, CA 94122",94122,+1 415 664-5543,"1750, Noriega Street, Sunset District, San Francisco, San Francisco City and County, California, 94122, United States of America","(37.75405784615385, -122.48247761538461, 0.0)",37.75405784615385,-122.48247761538461,0.0
61,Walgreens,Drug Store,"200 W Portal Ave, San Francisco, CA 94127",94127,+1 415 665-1008,"Walgreens, 200, West Portal Avenue, West Portal, San Francisco, San Francisco City and County, California, 94127, United States of America","(37.7389354, -122.46840597411204, 0.0)",37.7389354,-122.46840597411204,0.0
62,Walgreens,Drug Store,"1630 Ocean Ave, San Francisco, CA 94112",94112,+1 415 239-0804,"Ocean Avenue, Ingleside, San Francisco, San Francisco City and County, California, 94112, United States of America","(37.7231558, -122.45248, 0.0)",37.7231558,-122.45248,0.0
63,Walgreens,Drug Store,"4645 Mission St, San Francisco, CA 94112",94112,+1 415 585-6900,"4645, Mission Street, Excelsior, San Francisco, San Francisco City and County, California, 94112, United States of America","(37.723995, -122.435441, 0.0)",37.723995,-122.435441,0.0
64,Walgreens,Drug Store,"88 Spear St, San Francisco, CA 94105",94105,+1 415 856-0733,"Spear Street, Financial District, San Francisco, San Francisco City and County, California, 94105, United States of America","(37.7913918, -122.392628, 0.0)",37.7913918,-122.392628,0.0
65,Walgreens,Drug Store,"1333 Castro St, San Francisco, CA 9411",9411,+1 415 826-8533,"1333, Castro Street, Noe Valley, San Francisco, San Francisco City and County, California, 94114, United States of America","(37.75100416326531, -122.4339550612245, 0.0)",37.75100416326531,-122.4339550612245,0.0
66,Walgreens,Drug Store,"5260 Diamond Heights Blvd, San Francisco, CA 94131",94131,+1 415 695-2808,"Walgreens, 5260, Diamond Heights Boulevard, San Francisco, San Francisco City and County, California, 94131, United States of America","(37.7438227, -122.4395199, 0.0)",37.7438227,-122.4395199,0.0
67,Walgreens,Drug Store,"199 Parnassus Ave, San Francisco, CA 94117",94117,+1 415 661-5287,"Walgreens, 199, Parnassus Avenue, Cole Valley, San Francisco, San Francisco City and County, California, 94117, United States of America","(37.764405100000005, -122.4523355, 0.0)",37.764405100000005,-122.4523355,0.0
68,Walgreens,Drug Store,"25 Point Lobos Ave, San Francisco, CA 94121",94121,+1 415 386-0736,"Walgreens, 25, Point Lobos Avenue, Seacliff, San Francisco, San Francisco City and County, California, 94121, United States of America","(37.77943405, -122.50351218422708, 0.0)",37.77943405,-122.50351218422708,0.0
69,Walgreens,Drug Store,"3001 Taraval St, San Francisco, CA 94116",94116,+1 415 759-0572,"Walgreens, 3001, Taraval Street, Sunset District, San Francisco, San Francisco City and County, California, 94116, United States of America","(37.7418328, -122.49854539218231, 0.0)",37.7418328,-122.49854539218231,0.0
70,Walgreens,Drug Store,"1201 Taraval St, San Francisco, CA 94116",94116,+1 415 753-1305,"Walgreens, 1201, Taraval Street, West Portal, San Francisco, San Francisco City and County, California, 94116, United States of America","(37.74266235, -122.47913287415639, 0.0)",37.74266235,-122.47913287415639,0.0
71,Walgreens,Drug Store,"965 Geneva Ave, San Francisco, CA 94112",94112,+1 415 841-0507,"965, Geneva Avenue, Crocker-Amazon, San Francisco, San Francisco City and County, California, 94112, United States of America","(37.715830475000004, -122.44010139999999, 0.0)",37.715830475000004,-122.44010139999999,0.0
73,Walgreens,Drug Store,"2550 Ocean Ave, San Francisco, CA 94132",94132,+1 415 587-9000,"Ocean Avenue, Saint Francis Wood, San Francisco, San Francisco City and County, California, 94132, United States of America","(37.7310644, -122.4717534, 0.0)",37.7310644,-122.4717534,0.0
76,Walgreens,Drug Store,"135 Powell St, San Francisco, CA 94102",94102,+1 415 391-7222,"135, Powell Street, Union Square, San Francisco, San Francisco City and County, California, 94102, United States of America","(37.78583483673469, -122.40802648979592, 0.0)",37.78583483673469,-122.40802648979592,0.0
77,Walgreens,Drug Store,"45 Castro St, San Francisco, CA 94114",94114,+1 415 565-0991,"CPMC Davies Campus, 45, Castro Street, Duboce Triangle, San Francisco, San Francisco City and County, California, 94114, United States of America","(37.768256949999994, -122.43462122694451, 0.0)",37.768256949999994,-122.43462122694451,0.0
78,Walgreens,Drug Store,"1344 Stockton St, San Francisco, CA 94133",94133,+1 415 981-6274,"1338-1344, Stockton Street, North Beach, San Francisco, San Francisco City and County, California, 94133, United States of America","(37.798256550000005, -122.4084126, 0.0)",37.798256550000005,-122.4084126,0.0
79,Walgreens,Drug Store,"5280 Geary Blvd, San Francisco, CA 94118",94118,+1 415 668-2041,"Geary Boulevard, Jordan Park, San Francisco, San Francisco City and County, California, 94118, United States of America","(37.7811325, -122.4606526, 0.0)",37.7811325,-122.4606526,0.0
80,Walgreens,Drug Store,"2690 Mission St, San Francisco, CA 94110",94110,+1 415 285-1576,"Walgreens, 2690, Mission Street, Mission District, San Francisco, San Francisco City and County, California, 94110, United States of America","(37.7539579, -122.4187888, 0.0)",37.7539579,-122.4187888,0.0
81,Walgreens,Drug Store,"1189 Potrero Ave, San Francisco, CA 94110",94110,+1 415 647-1397,"1189, Potrero Avenue, Potrero Terrace, San Francisco, San Francisco City and County, California, 94110, United States of America","(37.753237795918366, -122.40625359183673, 0.0)",37.753237795918366,-122.40625359183673,0.0
82,Walgreens,Drug Store,"745 Clement St, San Francisco, CA 94118",94118,+1 415 668-5250,"Walgreens, 745, Clement Street, Richmond District, San Francisco, San Francisco City and County, California, 94118, United States of America","(37.7826679, -122.4673818, 0.0)",37.7826679,-122.4673818,0.0
83,Walgreens,Drug Store,"2050 Irving St, San Francisco, CA 94122",94122,+1 415 664-4215,"Walgreens, 2050, Irving Street, Sunset District, San Francisco, San Francisco City and County, California, 94122, United States of America","(37.7636358, -122.48000391253493, 0.0)",37.7636358,-122.48000391253493,0.0
84,Walgreens,Drug Store,"825 Market St, San Francisco, CA 94103",94103,+1 415 543-9502,"Market Street, Tenderloin, San Francisco, San Francisco City and County, California, 94103, United States of America","(37.7813537, -122.4113456, 0.0)",37.7813537,-122.4113456,0.0
85,Walgreens,Drug Store,"33 Drumm St, San Francisco, CA 94111",94111,+1 415 989-6116,"Walgreens, 33, Drumm Street, Financial District, San Francisco, San Francisco City and County, California, 94111, United States of America","(37.7941031, -122.3966895, 0.0)",37.7941031,-122.3966895,0.0
86,Walgreens,Drug Store,"2262 Market St, San Francisco, CA 94114",94114,+1 415 255-0101,"2262, Market Street, Duboce Triangle, San Francisco, San Francisco City and County, California, 94114, United States of America","(37.764965430218204, -122.43240187030558, 0.0)",37.764965430218204,-122.43240187030558,0.0
87,Walgreens,Drug Store,"498 Castro St, San Francisco, CA 94114",94114,+1 415 861-3136,"Walgreens, 498, Castro Street, Castro District, San Francisco, San Francisco City and County, California, 94114, United States of America","(37.7610102, -122.4352043, 0.0)",37.7610102,-122.4352043,0.0
