facility_name,facility_type,location,zip,contact
Walgreens,Drug Store,"456 Mission St, San Francisco, CA 94105",94105,+1 415-348-9600
Walgreens,Drug Store,"1344 Stockton St, San Francisco, CA 94133",94133,+1 415-981-6274
Walgreens,Drug Store,"300 Montgomery St, San Francisco, CA 94104",94104,+1 415-788-2984
Walgreens,Drug Store,"88 Spear St, San Francisco, CA 94105",94105,+1 415-856-0733
Walgreens,Drug Store,"825 Market St, San Francisco, CA 94103",94103,+1 415-543-9502
Walgreens,Drug Store,"275 Sacramento St, San Francisco, CA 94111",94111,+1 415-362-5227
Walgreens,Drug Store,"141 Kearny St, San Francisco, CA 94108",94108,+1 415 834-0356
Walgreens,Drug Store,"790 Van Ness Ave, San Francisco, CA 94102",94102,+1 415 292-6155
Walgreens,Drug Store,"1496 Market St, San Francisco, CA 94102",94102,+1 415 626-9972
Walgreens,Drug Store,"459 Powell St, San Francisco, CA 94102",94102,+1 415 984-0793
Walgreens,Drug Store,"1899 Fillmore St, San Francisco, CA 94115",94115,+1 415 771-4603
Walgreens,Drug Store,"1301 Market St, San Francisco, CA 94103",94103,+1 415 861-4010
Walgreens,Drug Store,"1175 Columbus Ave, San Francisco, CA 94133",94133,+1 415 345-1079
Walgreens,Drug Store,"1300 Bush St, San Francisco, CA 94109",94109,+1 415 771-3303
Walgreens,Drug Store,"2145 Market St, San Francisco, CA 94114",94114,+1 415 355-0800
Walgreens,Drug Store,"745 Clement St, San Francisco, CA 94118",94118,+1 415 668-5250
Walgreens,Drug Store,"3400 Cesar Chavez, San Francisco, CA 94110",94110,+1 415 285-0802
Walgreens,Drug Store,"1301 Franklin St, San Francisco, CA 94109",94109,+1 415 775-6706
Walgreens,Drug Store,"1363 Divisadero St, San Francisco, CA 94115",94115,+1 415 931-9974
Walgreens,Drug Store,"500 Geary St, San Francisco, CA 94102",94102,+1 415 673-8413
Walgreens,Drug Store,"2494 San Bruno Ave, San Francisco, CA 94134",94134,+1 415 468-4274
Walgreens,Drug Store,"300 Gough St, San Francisco, CA 94102",94102,+1 415 581-0600
Walgreens,Drug Store,"3398 Mission St, San Francisco, CA 94110",94110,+1 415 824-6886
Walgreens,Drug Store,"1189 Potrero Ave, San Francisco, CA 94110",94110,+1 415 647-1397
Walgreens,Drug Store,"2690 Mission St, San Francisco, CA 94110",94110,+1 415 285-1576
Walgreens,Drug Store,"1524 Polk St, San Francisco, CA 94109",94109,+1 415 673-4701
Walgreens,Drug Store,"3601 California St, San Francisco, CA 94118",94118,+1 415 668-5202
Walgreens,Drug Store,"2141 Chestnut St, San Francisco, CA 94123",94123,+1 415 567-9320
Walgreens,Drug Store,"3201 Divisadero St, San Francisco, CA 94123",94123,+1 415 931-6417
Walgreens,Drug Store,"5300 3rd St, San Francisco, CA 94124",94124,+1 415 671-0841
Walgreens,Drug Store,"1750 Noriega St, San Francisco, CA 94122",94122,+1 415 664-5543
Walgreens,Drug Store,"200 W Portal Ave, San Francisco, CA 94127",94127,+1 415 665-1008
Walgreens,Drug Store,"1630 Ocean Ave, San Francisco, CA 94112",94112,+1 415 239-0804
Walgreens,Drug Store,"4645 Mission St, San Francisco, CA 94112",94112,+1 415 585-6900
Walgreens,Drug Store,"88 Spear St, San Francisco, CA 94105",94105,+1 415 856-0733
Walgreens,Drug Store,"1333 Castro St, San Francisco, CA 9411", 9411,+1 415 826-8533
Walgreens,Drug Store,"5260 Diamond Heights Blvd, San Francisco, CA 94131",94131,+1 415 695-2808
Walgreens,Drug Store,"199 Parnassus Ave, San Francisco, CA 94117",94117,+1 415 661-5287
Walgreens,Drug Store,"25 Point Lobos Ave, San Francisco, CA 94121",94121,+1 415 386-0736
Walgreens,Drug Store,"3001 Taraval St, San Francisco, CA 94116",94116,+1 415 759-0572
Walgreens,Drug Store,"1201 Taraval St, San Francisco, CA 94116",94116,+1 415 753-1305
Walgreens,Drug Store,"965 Geneva Ave, San Francisco, CA 94112",94112,+1 415 841-0507
Walgreens,Drug Store,"2100 Webster St Ste 105, San Francisco, CA 94115",94115,+1 415 441-5742
Walgreens,Drug Store,"2550 Ocean Ave, San Francisco, CA 94132",94132,+1 415 587-9000
Walgreens,Drug Store,"550 16th St rm 1200, San Francisco, CA 94158",94158,+1 415 365-0512
Walgreens,Drug Store,"500 Parnassus Ave J, San Francisco, CA 94143",94143,+1 415 681-3394
Walgreens,Drug Store,"135 Powell St, San Francisco, CA 94102",94102,+1 415 391-7222
Walgreens,Drug Store,"45 Castro St, San Francisco, CA 94114",94114,+1 415 565-0991
Walgreens,Drug Store,"1344 Stockton St, San Francisco, CA 94133",94133,+1 415 981-6274
Walgreens,Drug Store,"5280 Geary Blvd, San Francisco, CA 94118",94118,+1 415 668-2041
Walgreens,Drug Store,"2690 Mission St, San Francisco, CA 94110",94110,+1 415 285-1576
Walgreens,Drug Store,"1189 Potrero Ave, San Francisco, CA 94110",94110,+1 415 647-1397
Walgreens,Drug Store,"745 Clement St, San Francisco, CA 94118",94118,+1 415 668-5250
Walgreens,Drug Store,"2050 Irving St, San Francisco, CA 94122",94122,+1 415 664-4215
Walgreens,Drug Store,"825 Market St, San Francisco, CA 94103",94103,+1 415 543-9502
Walgreens,Drug Store,"33 Drumm St, San Francisco, CA 94111",94111,+1 415 989-6116
Walgreens,Drug Store,"2262 Market St, San Francisco, CA 94114",94114,+1 415 255-0101
Walgreens,Drug Store,"498 Castro St, San Francisco, CA 94114",94114,+1 415 861-3136
California Pacific Med Ctr-davies Campus,General Acute Care Hospital,"45 Castro St, San Francisco, CA 94114",94114,Unknown
On Lok Senior Health Services-mission Center,Community Clinic,"1333 Bush St, San Francisco, CA 94109",94109,Unknown
"Drug Detoxification, Rehab And After Care Svs. Prog.",Free Clinic,"601 Steiner St #2509, San Francisco, CA 94117",94117,Unknown
St. Anthony Medical Clinic,Free Clinic,"150 Golden Gate Ave 2nd floor, San Francisco, CA 94102",94102,Unknown
Special Programs For Youth,Community Health Network,"375 Woodside Ave, San Francisco, CA 94127",94127,Unknown
Mission Neighborhood Health Ctr.-excelsior Clinic,Community Clinic,"4434 Mission St, San Francisco, CA 94112",94112,Unknown
California Pacific Med Ctr-california West,General Acute Care Hospital,"3700 California St b555, San Francisco, CA 94118",94118,Unknown
Laguna Honda Hospital And Rehabilitation Center,General Acute Care Hospital,"375 Laguna Honda Blvd, San Francisco, CA 94116",94116,Unknown
St. James Infirmary,Community Clinic,"730 Polk St 4th floor, San Francisco, CA 94109",94109,Unknown
Baart Turk Street Clinic,Community Clinic,"433 Turk St, San Francisco, CA 94102",94102,Unknown
Tom Waddell Health Center,Community Health Network,"230 Golden Gate Ave, San Francisco, CA 94102",94102,Unknown
North East Medical Services-taraval,Community Health Network,"2308 Taraval St, San Francisco, CA 94116",94116,Unknown
On Lok Senior Health Services,Community Clinic,"1000 Montgomery St, San Francisco, CA 94133",94133,Unknown
Housing And Urban Health Clinic,Community Health Network,"234 Eddy St, San Francisco, CA 94102",94102,Unknown
Potrero Hill Health Center,Community Health Network,"1050 Wisconsin St, San Francisco, CA 94107",94107,Unknown
South Of Market Health Center,Community Clinic,"229 7th St, San Francisco, CA 94103",94103,Unknown
Family Health Center At Sfgh,Community Health Network,"995 Potrero Ave, San Francisco, CA 94110",94110,Unknown
Institute On Aging,Community Clinic,"3575 Geary Blvd, San Francisco, CA 94118",94118,Unknown
Women's Health Center,Community Health Network,"3698 California St, San Francisco, CA 94118",94118,Unknown
Lyon-martin Womens Health Services,Community Clinic,"1735 Mission St, San Francisco, CA 94103",94103,Unknown
Castro-mission Health Center,Community Health Network,"3850 17th St, San Francisco, CA 94114",94114,Unknown
Chinese Hospital,General Acute Care Hospital,"845 Jackson St, San Francisco, CA 94133",94133,Unknown
San Francisco Free Clinic,Free Clinic,"4900 California St, San Francisco, CA 94118",94118,Unknown
North East Medical Services - San Bruno Avenue,Community Clinic,"2574 San Bruno Ave, San Francisco, CA 94134",94134,Unknown
Mission Neighborhood Health Centers-lpc,Community Health Network,"240 Shotwell St #1323, San Francisco, CA 94110",94110,Unknown
Native American Health Center,Community Clinic,"1089 Mission St, San Francisco, CA 94103",94103,Unknown
Mission Neighborhood Health Center - Valencia Clinic,Community Clinic,"240 Shotwell St #1323, San Francisco, CA 94110",94110,Unknown
Larkin Street Medical Clinic,Community Health Network,"134 Golden Gate Ave, San Francisco, CA 94102",94102,Unknown
Children's Health Center At Sfgh,Community Health Network,"1001 Potrero Ave, San Francisco, CA 94110",94110,Unknown
Planned Parenthood Golden Gate,Community Clinic,"1650 Valencia St, San Francisco, CA 94110",94110,Unknown
3rd Street Youth Center & Clinic,Community Health Network,"1728 Bancroft Ave, San Francisco, CA 94124",94124,Unknown
General Medical Clinic At Sfgh,Community Health Network,"1001 Potrero Ave, San Francisco, CA 94110",94110,Unknown
Mission Neighborhood Resource Center,Community Clinic,"165 Capp St, San Francisco, CA 94110",94110,Unknown
Glide Health Services,Community Clinic,"330 Ellis St, San Francisco, CA 94102",94102,Unknown
Curry Senior Center,Community Clinic,"333 Turk St, San Francisco, CA 94102",94102,Unknown
Lifeways Pace At The Coronet,Community Clinic,"3575 Geary Blvd, San Francisco, CA 94118",94118,Unknown
Haight Ashbury Integrated Care Center,Community Clinic,"558 Clayton St, San Francisco, CA 94117",94117,Unknown
San Francisco City Clinic,Community Health Network,"356 7th St, San Francisco, CA 94103",94103,Unknown
Ahf Healthcare Center - San Francisco,Community Clinic,"518A Castro St, San Francisco, CA 94114",94114,Unknown
Ucsf Medical Center At Mount Zion,General Acute Care Hospital,"1600 Divisadero St, San Francisco, CA 94115",94115,Unknown
Silver Avenue Family Health Center,Community Health Network,"1525 Silver Ave, San Francisco, CA 94134",94134,Unknown
Haight Ashbury Free Medical Clinic,Free Clinic,"558 Clayton St, San Francisco, CA 94117",94117,Unknown
Ocean Park Health Center,Community Health Network,"1351 24th Ave, San Francisco, CA 94122",94122,Unknown
Chinese Hospital's Excelsior Health Services,Community Clinic,"888 Paris St, San Francisco, CA 94112",94112,Unknown
Chinese Community Health Services,Community Clinic,"445 Grant Ave, San Francisco, CA 94108",94108,Unknown
North East Medical Services-leland Avenue,Community Clinic,"82 Leland Ave, San Francisco, CA 94134",94134,Unknown
Asian & Pacific Islander Wellness Center,Community Clinic,"730 Polk St, San Francisco, CA 94109",94109,Unknown
Mission Neighborhood Health Center,Community Clinic,"240 Shotwell St #1323, San Francisco, CA 94110",94110,Unknown
San Francisco General Hospital,General Acute Care Hospital,"1001 Potrero Ave, San Francisco, CA 94110",94110,Unknown
Southeast Health Center,Community Health Network,"2401 Keith St, San Francisco, CA 94124",94124,Unknown
Adult Immunization & Travel Clinic,Community Health Network,"101 Grove St, San Francisco, CA 94102",94102,Unknown
North East Medical Services,Community Clinic,"1520 Stockton St, San Francisco, CA 94133",94133,Unknown
Planned Parenthood San Francisco Center,Community Clinic,"1650 Valencia St, San Francisco, CA 94110",94110,Unknown
Kaiser Fnd Hosp - San Francisco,General Acute Care Hospital,"2425 Geary Blvd, San Francisco, CA 94115",94115,Unknown
Woman's Community Clinic/tides Center,Community Clinic,"1735 Mission St, San Francisco, CA 94103",94103,Unknown
On Lok Senior Health Services - Powell,Community Clinic,"1441 Powell St, San Francisco, CA 94133",94133,Unknown
On Lok 30th Street Community Center,Community Clinic,"225 30th St 3rd floor, San Francisco, CA 94131",94131,Unknown
St. Francis Memorial Hospital,General Acute Care Hospital,"900 Hyde St, San Francisco, CA 94109",94109,Unknown
Chinatown Health Center,Community Health Network,"1490 Mason St, San Francisco, CA 94133",94133,Unknown
"St. Mary's Medical Center, San Francisco",General Acute Care Hospital,"450 Stanyan St, San Francisco, CA 94117",94117,Unknown
Maxine Hall Health Center,Community Health Network,"1301 Pierce St, San Francisco, CA 94115",94115,Unknown
California Pacific Med Ctr-california East,General Acute Care Hospital,"3773 Sacramento St, San Francisco, CA 94118",94118,Unknown
Instituto Familiar De La Raza - Outpatient,Community Clinic,"2919 Mission St, San Francisco, CA 94110",94110,Unknown
Baart Market Clinic,Community Clinic,"1111 Market St 1st Floor, San Francisco, CA 94103",94103,Unknown
Balboa Teen Health Center,Community Health Network,"1000 Cayuga Ave # 156, San Francisco, CA 94112",94112,Unknown
St. Luke's Health Care Center - Pediatric Clinic,Community Clinic,"1580 Valencia St #506, San Francisco, CA 94110",94110,Unknown
California Pacific Med Ctr-pacific Campus,General Acute Care Hospital,"2333 Buchanan St, San Francisco, CA 94115",94115,Unknown
Ucsf Medical Center,General Acute Care Hospital,"505 Parnassus Ave, San Francisco, CA 94143",94143,Unknown
California Pacific Medical Center - St. Luke's Campus,General Acute Care Hospital,"3555 Cesar Chavez, San Francisco, CA 94110",94110,Unknown
St. Luke's Health Care Center - Adult Clinic,Community Clinic,"1580 Valencia St #506, San Francisco, CA 94110",94110,Unknown
North East Medical Services - Noriega,Community Clinic,"1450 Noriega St, San Francisco, CA 94122",94122,Unknown
On Lok Senior Health Services - Bush St,Community Clinic,"1000 Montgomery St, San Francisco, CA 94133",94133,Unknown
St. Luke's Health Care Center - Women's Clinic,Community Clinic,"1580 Valencia St #506, San Francisco, CA 94110",94110,Unknown
Richmond Maxi-center,Community Clinic,"3626 Balboa St, San Francisco, CA 94121",94121,Unknown
Cole Street Clinic,Community Health Network,"555 Cole St, San Francisco, CA 94117",94117,Unknown
